Name,Symbol,Currency,Sector
A.P. Møller - Mærsk B,MAERSK-B.CO,DKK,Industrials
AaB,AAB.CO,DKK,Consumer Services
Agat Ejendomme,AGAT.CO,DKK,Real Estate
AGF B,AGF-B.CO,DKK,Consumer Services
ALK-Abelló B,ALK-B.CO,DKK,Health Care
Alm. Brand,ALMB.CO,DKK,Financials
Ambu,AMBU-B.CO,DKK,Health Care
Aquaporin,AQP.CO,DKK,Industrials
Atlantic Petroleum,ATLA-DKK.CO,DKK,Energy
Bang & Olufsen,BO.CO,DKK,Consumer Services
BankNordik,BNORDIK-CSE.CO,DKK,Financials
Bavarian Nordic,BAVA.CO,DKK,Health Care
BioPorto,BIOPOR.CO,DKK,Health Care
Blue Vision A,BLVIS-A.CO,DKK,Real Estate
Boozt,BOOZT-DKK.CO,DKK,Consumer Services
Brd. Klee B,KLEE-B.CO,DKK,Industrials
Brdr. A & O Johansen B,AOJ-B.CO,DKK,Industrials
Brdr.Hartmann,HART.CO,DKK,Industrials
Brøndby IF,BIF.CO,DKK,Consumer Services
Carlsberg A,CARL-A.CO,DKK,Consumer Goods
Carlsberg B,CARL-B.CO,DKK,Consumer Goods
CBRAIN,CBRAIN.CO,DKK,Technology
Cemat,CEMAT.CO,DKK,Technology
ChemoMetec,CHEMM.CO,DKK,Health Care
Chr. Hansen Holding,CHR.CO,DKK,Health Care
Coloplast B,COLO-B.CO,DKK,Health Care
Columbus,COLUM.CO,DKK,Technology
Copenhagen Capital Præf,CPHCAP-PREF.CO,DKK,Real Estate
Copenhagen Capital Stam,CPHCAP-ST.CO,DKK,Real Estate
D/S Norden,DNORD.CO,DKK,Industrials
Danske Andelskassers Bank,DAB.CO,DKK,Financials
Danske Bank,DANSKE.CO,DKK,Financials
Dantax,DANT.CO,DKK,Consumer Services
Demant,DEMANT.CO,DKK,Health Care
DFDS,DFDS.CO,DKK,Industrials
Djurslands Bank,DJUR.CO,DKK,Financials
DSV,DSV.CO,DKK,Industrials
EAC Invest,EAC.CO,DKK,Industrials
Ennogie Solar Group,ESG.CO,DKK,Financials
Fast Ejendom Danmark,FED.CO,DKK,Real Estate
FirstFarms,FFARMS.CO,DKK,Consumer Goods
FLSmidth & Co.,FLS.CO,DKK,Industrials
Flügger group B,FLUG-B.CO,DKK,Industrials
Fynske Bank,FYNBK.CO,DKK,Financials
Gabriel Holding,GABR.CO,DKK,Consumer Services
Genmab,GMAB.CO,DKK,Health Care
German High Street Properties,GERHSP.CO,DKK,Real Estate
Glunz & Jensen Holding,GJ.CO,DKK,Industrials
